,University Name,Course Name,Description,Degree,Internship,Accreditation,URL,Last Update
10,American Public University,Bachelor of Science in Public Health (Online),"The Bachelor of Science in Public Health degree provides a professionally focused understanding of public health in America and abroad including the science, psychology, and sociology associated with public health issues. You will study public law, policy, and administration associated with the administration of public health along with its management, finances, and structure.

This online degree program is intended for professionals seeking advancement in the public health field or who desire to enter the field as a community health worker or educator, dietitian, nutritionist, health services manager, or occupational health and safety technician.

Degree Program Objectives:

In addition to the institutional and degree level learning objectives, graduates of this program are expected to achieve these learning outcomes:

-Apply organizational design principles to the unique healthcare organization construct.

-Perform macro- and microeconomic analyses of healthcare production and costs.

-Critically analyze the healthcare system in the United States.

-Create a plan for efficient healthcare system management.

-Develop an ethical system to analyze moral issues in public health services delivery.

-Discuss epidemiological issues in society.

-Appraise the U.S. medical care system, its problems, and potential for reform.

-Analyze international and comparative public health concepts, approaches, and systems.

All literature courses require successful completion of ENGL101 - Proficiency in Writing or ENGL110 - Making Writing Relevant.

You must choose a concentration for this degree program and may select from the General Concentration, Concentration in Emergency and Disaster Management, Concentration in Nutrition and Wellness, or Concentration in Public Health Informatics.

*Must take this course.

Additional Information: https://www.apu.apus.edu/academic/schools/health-sciences/bachelors/public-health.html

https://catalog.apus.edu/undergraduate/academic-programs/bachelors/bachelor-science-public-health/#requirementstext",Bachelor Degree,No,Higher Learning Commission,http://www.apus.edu/,11/18/2020
11,American Public University,Dual Master of Arts in Emergency and Disaster Management and Homeland Security (Online),"This dual degree in Emergency and Disaster Management & Homeland Security is comprised of two separate master's programs offered at this university. Taking these online graduate programs in tandem in a dual degree gives you the core courses of both programs along with a selection of electives culminating in an end-of-program assessment.

This online dual master's degree offers a natural symbiosis between these two fields: emergency management professionals who save lives by responding to disasters such as floods, fires, earthquakes, etc., and homeland security personnel who provide a secure and collaborative information sharing environment for communication during critical incidents. This dual master's degree program will help to expand your career options by allowing you to gain competency in these two fields simultaneously.

This program is taught by highly credentialed and experienced instructors, many who are board-certified emergency managers (CEM) or who hold key positions in government agencies or national safety and security organizations.

Additional Information: https://catalog.apus.edu/graduate/academic-programs/masters/dual-master-arts-emergency-disaster-management-homeland-security/",Masters Level,No,Higher Learning Commission,http://www.apus.edu/,5/5/2021
12,American Public University,Graduate Certificate in Climate Change Awareness and Leadership (Online),"In our graduate certificate in Climate Change Awareness and Leadership program, you will study climate and environmental change from an approved list of courses in leadership, management, planning, and analysis. You'll learn the science behind climate change and global warming and its various impacts on the environment and society. The certificate concludes with an end-of-program research project designed by you and your professor to help you integrate climate change and leadership theories into practical application.

Climate change is a critical area of study that will significantly influence the future of business, government, and environmental policy well into the 21st century. Many challenges and innovations lie ahead that require a new generation of leaders in the emergency and disaster management and environmental protection fields to be well versed in the science and the policies required to lead organizations and government through the coming challenges. Upon completion of the certificate, you will be able to present a portfolio of qualifications to employers requiring leadership in the face of ongoing and upcoming climate change impacts.

Additional Information: https://catalog.apus.edu/graduate/academic-programs/certificates/graduate-certificate-climate-change-awareness-leadership/#text",Masters Level,No,Higher Learning Commission,http://www.apus.edu/,5/5/2021
13,American Public University,Graduate Certificate in Emergency and Disaster Management (Online),"The graduate certificate in Emergency and Disaster Management introduces you to the concepts of emergency management, including hazard analysis, mitigation, planning, communication, response, and recovery. It provides a theoretical foundation and understanding of what constitutes disaster, and offers you a glimpse into real-world emergency operations centers. You'll also uncover how various emergency support functions (fire, law enforcement, public works, healthcare providers, etc.) work together in an integrated emergency management system.

This program is also recognized by the Foundation of Higher Education for Disaster and Emergency Management and Homeland Security. The university is the first fully online institution to receive this important distinction. This program is taught by highly credentialed and experienced instructors, many who are board-certified emergency managers (CEM), or who hold key positions in government agencies or national safety and security organizations.

Additional Information: https://catalog.apus.edu/graduate/academic-programs/certificates/graduate-certificate-emergency-disaster-management/#text",Masters Level,No,Higher Learning Commission,http://www.apus.edu/,5/5/2021
14,American Public University,Graduate Certificate in Emergency Management Executive Leadership (Online),"The graduate certificate in Emergency Management Executive Leadership provides you with the core knowledge needed to serve as an executive or leader in an emergency management program in your corporation, organization or community. It is designed to improve your knowledge of crisis management, local to national agency coordination, risk assessment, crisis planning, disaster response, and disaster recovery. With continual awareness on the need to assure sustainability in crisis situations, along with increasing regulatory requirements on businesses to develop emergency management programs, there is growing need to prepare professionals in all walks of industry to effectively lead and manage crisis and disaster response programs. This online certificate is intended for graduate students who want to expand their knowledge of emergency management leadership without committing to a degree program.

Additional Information: https://catalog.apus.edu/graduate/academic-programs/certificates/graduate-certificate-emergency-management-executive-leadership/#text",Masters Level,No,Higher Learning Commission,http://www.apus.edu/,5/5/2021
15,American Public University,Master of Arts in Emergency and Disaster Management,"The Master of Arts in Emergency and Disaster Management provides graduate-level knowledge to improve critical thinking and decision-making skills required in the planning and management of public crises. This online master's degree program exposes you to the history, theory, response, recovery, and economics of EDM. Through case study examination, you'll study natural, technical, and human-induced public emergencies, disasters, and catastrophes. Knowledge gained from this online program can supplement experience previously gained in the public safety field, or can help to prepare you for a new career in EDM. Knowledgeable leaders who can effectively manage crisis events are in demand in government agencies, public safety, and law enforcement organizations.

This program is recognized by the Foundation of Higher Education for Disaster and Emergency Management and Homeland Security. The university is the first 100% online institution to receive this important distinction. This program is taught by highly credentialed and experienced instructors, many who are board-certified emergency managers (CEM) or who hold key positions in government agencies or national safety and security organizations.

Additional Information: https://catalog.apus.edu/graduate/academic-programs/masters/master-arts-emergency-disaster-management/#text",Masters Level,No,Higher Learning Commission,http://www.apus.edu/,5/5/2021
16,American Public University,Master of Arts in Homeland Security (Online),"The Master of Arts in Homeland Security offers an advanced-level understanding of homeland defense, intelligence methods, terrorism, weapons of mass destruction, consequence management, interagency government issues, emergency management, public health, and information security. Members of the homeland security enterprise – such as the Department of Homeland Security, state and local public safety entities, and large corporations – are aggressively searching for people who have the advanced education required to become intellectual and strategic leaders in this field.

This degree program is designed to enhance your leadership skills and improve your knowledge of national security and defense in order to prepare you for employment as an analyst or manager in government agencies, the military, or similar organizations dedicated to protecting public safety. This master's program is taught by highly credentialed and experienced instructors, many who hold key positions in government agencies or public safety organizations.

Additional Information: https://catalog.apus.edu/graduate/academic-programs/masters/master-arts-homeland-security/",Masters Level,No,Higher Learning Commission,http://www.apus.edu/,12/7/2020
17,American Public University,Master of Public Health (Online),"The online Master of Public Health (MPH) degree is designed to prepare professionals to resolve complex health issues and enhance the wellbeing of communities in the U.S. and around the world. Through excellence in teaching, research, and service, this respected online program seeks to educate and develop capable leaders in the public health workforce by closely aligning with academic community partners and by empowering students to address relevant public health problems today. This interdisciplinary degree challenges you to proactively seek implementable solutions and to develop preventative measures by understanding the scientific, psychological, and sociological competencies that significantly impact public health policy and practices today.

Our Master's in Public Health is accredited by Council on Education for Public Health (CEPH) for a five-year term, extending to July 1, 2022.

Degree Program Objectives:

In addition to the institutional and degree level learning objectives, graduates of this program are expected to achieve these learning outcomes:

-Assimilate knowledge and practice of community-based learning, research, and service into their professions.

-Comprehend the interaction of behavioral, social and physical environments on public health outcomes.

-Apply evidence-based principles and a scientific knowledge base to critical evaluation and decision making in public health.

-Synthesize concepts associated with power, politics, and organizational performance in healthcare settings.

-Summarize issues and concepts related to the impact of environmental health our global society.

-Explain how selected and widely employed social and behavioral science theories, models, constructs, and principles can be used to develop or improve programs to address major public health issues.

-Critically review and apply evidence-based evaluation of published medical and public health literature.

-Develop a framework, based on a mission, goals, and objectives and/or competencies, to evaluate public health programs for their effectiveness and quality.

-Synthesize concepts associated with specific research tasks: hypothesis construction, conceptualizing terms, literature review, data collection, critical analysis, and communicate findings.

-Examine the application of epidemiology to screening, infectious disease prevention, and policy.

-Assess the moral and ethical precepts that underlie the goals of the public health profession.

-Generate, analyze, apply, and interpret statistical data as related to public health problems and to further biomedical research.

Additional Information: https://www.apu.apus.edu/academic/schools/health-sciences/masters/public-health.html

https://catalog.apus.edu/graduate/academic-programs/masters/master-public-health-mph/#requirementstext",Masters Level,Yes,Higher Learning Commission,http://www.apus.edu/,11/18/2020
18,American Public University,Undergraduate Certificate in Emergency Management (Online),"The undergraduate certificate in Emergency Management is designed to improve your knowledge of disaster planning, risk assessment, emergency operations, crisis communication, public policy, and disaster mitigation and recovery. With continual awareness on the need to assure sustainability in crisis situations, along with regulatory requirements on businesses to develop emergency management programs, there is growing need to prepare professionals in all walks of industry to understand, respond to, and manage crisis. This online certificate is intended for undergraduate students who want to expand their knowledge of emergency management without committing to a degree program.

Additional Information: https://catalog.apus.edu/undergraduate/academic-programs/certificates/undergraduate-certificate-emergency-management/#text",Certificate Programs,No,Higher Learning Commission,http://www.apus.edu/,5/5/2021
19,American University,Master of Science in Terrorism and Homeland Security Policy,"The Master of Science in Terrorism and Homeland Security Policy at AU's School of Public Affairs will train you to tackle the problems of terrorism and other national and homeland security threats to the United States. You'll approach security issues informed by social science, with attention to the perspectives of criminology and criminal justice. Our program emphasizes development of strategic, policy-based security solutions at federal, state, and local levels of government.

The MS in Terrorism and Homeland Security Policy program will help you develop crucial skills in qualitative and quantitative research methods and will provide a foundation in criminology, law, and public policy. You will be able to build on this knowledge through a variety of security and policy elective courses across the university. Our students are exposed to rigorous intellectual challenges. You'll gain the knowledge and competency needed to address current issues facing U.S. law enforcement, intelligence, and homeland security agencies. In addition, you will have the opportunity to join graduate students from across SPA in gaining vital soft skills through our Professional Development Series. These workshops prepare students to confidently enter the workforce, with seminars on networking, resume writing, interviewing, and presenting.

You'll learn from faculty members who are international experts on terrorism and other threats to homeland security including cyber. They conduct internationally recognized research and work with policymakers and practitioners in real time to craft solutions to national and homeland security problems. And they value mentorship outside the classroom just as much as the teaching within it.

33 credit hours of approved graduate coursework with at least 18 credit hours at 600-level.

Capstone Experience: JLC-694 Justice, Law and Criminology Practicum (3) or JLC-695 Terrorism and Homeland Security Policy Practicum (3) with grade of B or better.

Minimum 3.00 cumulative GPA.

Research requirement: JLC-680 Introduction to Justice Research I (3) and JLC-681 Introduction to Justice Research II (3) with grades of B or better.

Additional Information: https://www.american.edu/spa/ms-thsp/?utm_source=fema&utm_medium=web&utm_campaign=college_list",Masters Level,No,Middle States Association of Colleges and Secondary Schools. The AU School of Public Affairs is accredited with NASPAA - National Association of Schools of Public Affairs and Administration,https://www.american.edu/,9/2/2020
20,American University of Puerto Rico,Continuing Education Certificate in Homeland Security,"American University of Puerto Rico (AUPR) is a non-profit, non-sectarian institution of higher education, established in 1963, that offers Associate, Bachelor and Master Degree's in multiple fields. In the areas of Homeland Security and Emergency Management it offers both continuing education and academic programs with courses in those fields.

In continuing education, AUPR's Institute of Homeland Security was established to provide training and continuing education in Homeland Security and Public Safety for municipal and state government officials as well as the private sector professionals. The Institute is designed to offer comprehensive programs to address the security needs not only of Puerto Rico, but also other U.S. Territories, and other Caribbean nations seeking to also improve their security through educational programs and professional training programs. Its courses are designed to develop skills and leadership techniques with the most current knowledge of threats posed by acts of terrorism, and strategies designed to prevent and control such threats and acts.

Additional Information: https://aupr.edu/programas/",Certificate Programs,No,Middle States Association of Colleges and Schools,http://www.aupr.edu,7/27/2018
21,Anderson University,Bachelor of Arts in Criminal Justice,"The mission of the Criminal Justice program is to provide students with the foundational academic knowledge required to be proficient practitioners in the field. At the end of the course of study, students should possess the skills to think critically about the issues encountered in the criminal justice system and promote progressive solutions to those issues. In addition to future careers in law enforcement, the program of study will provide a foundation for continuing education in law and graduate school.

The Bachelor of Arts in Criminal Justice provides graduates with a basic understanding of various aspects of the criminal justice system and its component parts. The degree is designed to prepare graduates for positions with local, state, tribal and federal government agencies such as city and state police and sheriffs' departments, probation and parole departments, FBI, State Law Enforcement Division, drug enforcement agencies, the Secret Service, U.S. Marshals Office, correctional institutions, juvenile justice agencies and in private, industrial security.

Degree Requirements (122 Cr. Hrs.)

University Core Requirements (41 Cr. Hrs.)

Additional Information: https://andersonuniversity.edu/public-service

https://andersonuniversity.edu/public-service/programs/criminal-justice",Bachelor Degree,No,Southern Association of Colleges and Schools,http://www.andersonuniversity.edu/,1/23/2020
22,Anderson University,Bachelor of Arts in Criminal Justice (Online),"The mission of the Criminal Justice program is to provide students with the foundational academic knowledge required to be proficient practitioners in the field. At the end of the course of study, students should possess the skills to think critically about the issues encountered in the criminal justice system and promote progressive solutions to those issues. In addition to future careers in law enforcement, the program of study will provide a foundation for continuing education in law and graduate school.

The Bachelor of Arts in Criminal Justice provides graduates with a basic understanding of various aspects of the criminal justice system and its component parts. The degree is designed to prepare graduates for positions with local, state, tribal and federal government agencies such as city and state police and sheriffs' departments, probation and parole departments, FBI, State Law Enforcement Division, drug enforcement agencies, the Secret Service, U.S. Marshals Office, correctional institutions, juvenile justice agencies and in private, industrial security.

Degree Requirements (122 Cr. Hrs.)

University Core Requirements (41 Cr. Hrs.)

Additional Information: https://andersonuniversity.edu/public-service

https://andersonuniversity.edu/au-online/undergraduate/criminal-justice",Bachelor Degree,No,Southern Association of Colleges and Schools,http://www.andersonuniversity.edu/,1/23/2020
23,Anderson University,Bachelor of Arts in Homeland Security and Emergency Services,"The mission of the Homeland Security/Emergency Services program at Anderson University is to provide students with the foundational academic knowledge required to be proficient practitioners in the field. At the end of the course of study, students should possess the skills to think critically about the issues encountered in Homeland Security and Emergency Services and promote creative and effective solutions to the challenges within their professions, communities, and places of employment. In addition to future careers in Homeland Security or Emergency Services, the program of study will provide a foundation for continuing education in Homeland Security, Emergency Services, Emergency Management and graduate studies programs.

The Bachelor of Arts in Homeland Security/Emergency Services provides graduates with a basic understanding of various aspects of the Homeland Security and Emergency Services systems and the systems' component parts. The degree is designed to prepare graduates for positions with local, state and federal government agencies such as local, state, tribal, and federal Emergency Management agencies, Emergency Services organizations (e.g., Law Enforcement, Firefighting, Emergency Medical Services), Homeland Security/Defense entities, as well as non-governmental and private organizations involved in emergency/disaster management, healthcare system emergency management, and industrial/corporate safety and security.

Additional Information: https://andersonuniversity.edu/academics/public-service/homeland-security-and-emergency-services",Bachelor Degree,No,Southern Association of Colleges and Schools,http://www.andersonuniversity.edu/,6/21/2021
24,Anderson University,Bachelor of Arts in Homeland Security and Emergency Services (Online),"The mission of the Homeland Security/Emergency Services program at Anderson University is to provide students with the foundational academic knowledge required to be proficient practitioners in the field. At the end of the course of study, students should possess the skills to think critically about the issues encountered in Homeland Security and Emergency Services and promote creative and effective solutions to the challenges within their professions, communities, and places of employment. In addition to future careers in Homeland Security or Emergency Services, the program of study will provide a foundation for continuing education in Homeland Security, Emergency Services, Emergency Management and graduate studies programs.

The Bachelor of Arts in Homeland Security/Emergency Services provides graduates with a basic understanding of various aspects of the Homeland Security and Emergency Services systems and the systems' component parts. The degree is designed to prepare graduates for positions with local, state and federal government agencies such as local, state, tribal, and federal Emergency Management agencies, Emergency Services organizations (e.g., Law Enforcement, Firefighting, Emergency Medical Services), Homeland Security/Defense entities, as well as non-governmental and private organizations involved in emergency/disaster management, healthcare system emergency management, and industrial/corporate safety and security.

Additional Information: http://online.andersonuniversity.edu/undergraduate/homeland-security-emergency-services",Bachelor Degree,No,Southern Association of Colleges and Schools,http://www.andersonuniversity.edu/,6/21/2021
25,Anderson University,Bachelor of Arts in Homeland Security and Emergency Services: Emergency Services Mgmt.,"The mission of the Homeland Security/Emergency Services: Emergency Service Management concentration at Anderson University is to provide students with experience in emergency service the foundational academic knowledge required to be proficient managers in the field. At the end of the course of study, students should possess the skills to think critically and act decisively about the issues encountered in Homeland Security and Emergency Services and promote creative and effective solutions to the challenges within their professions, communities, and places of employment. In additions to future careers in Homeland Security or Emergency Services, the program of study will provide a foundation for continuing education and graduate studies programs.

The Bachelor of Arts in Homeland Security/Emergency Services: Emergency Services Management provides graduates with a basic understanding of various aspects of the Emergency Services systems and the systems' component parts. The Emergency Services Management studies are designed to prepare managers and leaders in the fields of Homeland Security, Emergency Services, and Emergency management to deal with the complexities and challenges of managing agencies in an organizationally sound and ethical manner. This degree is designed to prepare graduates for management and leadership positions within local, state, tribal, and federal Emergency Management agencies, Emergency Services organizations (e.g., Law Enforcement, Firefighting, Emergency Medical Services). Homeland Security/Defense entities, as well as nongovernmental and private organizations involved in emergency/disaster management, healthcare system emergency management, and industrial/corporate safety and security.

Additional Information: https://andersonuniversity.edu/academics/public-service/homeland-security-emergency-services-management-ba",Bachelor Degree,No,Southern Association of Colleges and Schools,http://www.andersonuniversity.edu/,6/21/2021
26,Anderson University,Bachelor of Arts in Homeland Security and Emergency Services: Emergency Services Mgmt. (Online),"The mission of the Homeland Security/Emergency Services: Emergency Service Management concentration at Anderson University is to provide students with experience in emergency service the foundational academic knowledge required to be proficient managers in the field. At the end of the course of study, students should possess the skills to think critically and act decisively about the issues encountered in Homeland Security and Emergency Services and promote creative and effective solutions to the challenges within their professions, communities, and places of employment. In additions to future careers in Homeland Security or Emergency Services, the program of study will provide a foundation for continuing education and graduate studies programs.

The Bachelor of Arts in Homeland Security/Emergency Services: Emergency Services Management provides graduates with a basic understanding of various aspects of the Emergency Services systems and the systems' component parts. The Emergency Services Management studies are designed to prepare managers and leaders in the fields of Homeland Security, Emergency Services, and Emergency management to deal with the complexities and challenges of managing agencies in an organizationally sound and ethical manner. This degree is designed to prepare graduates for management and leadership positions within local, state, tribal, and federal Emergency Management agencies, Emergency Services organizations (e.g., Law Enforcement, Firefighting, Emergency Medical Services). Homeland Security/Defense entities, as well as nongovernmental and private organizations involved in emergency/disaster management, healthcare system emergency management, and industrial/corporate safety and security.

Additional Information: http://online.andersonuniversity.edu/undergraduate/homeland-security-emergency-services-emergency-services-management",Bachelor Degree,No,Southern Association of Colleges and Schools,http://www.andersonuniversity.edu/,6/21/2021
